name,surname,email,password
AdminName,AdminSurname,admin,admin
Jānis,Liepiņš,janis.liepins@gmail.com,janis123
Anna,Bērziņa,anna.berzina@gmail.com,anna123
Mārtiņš,Ozoliņš,martins.ozolins@gmail.com,martins123
Laura,Kalniņa,laura.kalnina@gmail.com,laura123
Rihards,Krūmiņš,rihards.krumins@gmail.com,rihards123
Zane,Pētersone,zane.petersone@gmail.com,zane123
Edgars,Jansons,edgars.jansons@gmail.com,edgars123
Līga,Grīnberga,liga.grinberga@gmail.com,liga123
Kaspars,Ķirsis,kaspars.kirsis@gmail.com,kaspars123
Elīna,Lejniece,elina.lejniece@gmail.com,elina123
Andris,Dūmiņš,andris.dumins@gmail.com,andris1230
Ilze,Zvejniece,ilze.zvejniece@gmail.com,ilze123
Kristaps,Roze,kristaps.roze@gmail.com,kristaps123
Agnese,Puriņa,agnese.purina@gmail.com,agnese123
Toms,Lācis,toms.lacis@gmail.com,toms123
Dace,Brūvere,dace.bruvere@gmail.com,dace123
Kaspars,Āboliņš,kaspars.abolins@gmail.com,kaspars123
Guntis,Vītols,guntis.vitols@gmail.com,guntis123
Santa,Dzenīte,santa.dzenite@gmail.com,santa123
Rolands,Ābols,rolands.abols@gmail.com,rolands123
Madara,Skudra,madara.skudra@gmail.com,madara123
